STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/20/2020,48,"H,,S",65,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/21/2020,46,"H,,S",56,",,S",38,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/22/2020,47,"H,,S",61,",,S",33,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/23/2020,48,"H,,S",61,",,S",37,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/24/2020,48,"H,,S",64,",,S",34,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/25/2020,50,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/26/2020,46,"H,,S",53,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/27/2020,49,"H,,S",56,",,S",42,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/28/2020,51,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/29/2020,53,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/1/2020,51,"H,,S",60,",,S",41,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/2/2020,47,"H,,S",54,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/3/2020,43,"H,,S",50,",,S",41,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/4/2020,48,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/5/2020,50,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/6/2020,44,"H,,S",50,",,S",40,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/7/2020,47,"H,,S",55,",,S",41,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/8/2020,51,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/9/2020,49,"H,,S",55,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/10/2020,52,"H,,S",61,",,S",46,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/11/2020,53,"H,,S",63,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/12/2020,52,"H,,S",59,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/13/2020,49,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/14/2020,47,"H,,S",,,37,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/15/2020,50,"H,,S",60,",,S",36,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/16/2020,52,"H,,S",60,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/17/2020,54,"H,,S",,,51,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/18/2020,57,"H,,S",70,",,S",44,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/19/2020,57,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/20/2020,56,"H,,S",68,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/21/2020,55,"H,,S",65,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/22/2020,55,"H,,S",66,",,S",46,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/23/2020,54,"H,,S",63,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/24/2020,53,"H,,S",,,44,",,S"
